Dataest,Approach,Nominal,,,,,,Corrupted,,,,,
,,ATRC,RAUC-100,RAUC-200,RAUC-500,RAUC-1000,RAUC-all,ATRC,RAUC-100,RAUC-200,RAUC-500,RAUC-1000,RAUC-all
CIFAR-10,LSA,0.394580508,0.453136062,0.483074629,0.468487593,0.455167739,0.494341352,0.413680508,0.513136062,0.523074629,0.548487593,0.525167739,0.517341352
,DSA,0.427666471,0.555332264,0.570647602,0.554039023,0.580575158,0.573746672,0.453466471,0.535332264,0.560647602,0.554039023,0.570575158,0.563746672
,MCP,0.490992667,0.616867758,0.631204871,0.624957648,0.637918836,0.627799954,0.480992667,0.598647758,0.581920487,0.585957648,0.607918836,0.617799954
,Deepgini,0.556633193,0.683927372,0.693981745,0.673258819,0.655129374,0.680454714,0.526633193,0.643927372,0.623981745,0.633258819,0.659512937,0.710454714
,PRIMA,0.581925421,0.689842579,0.674899055,0.685166844,0.673813031,0.706574474,0.567092542,0.679842579,0.714899055,0.685166844,0.683813031,0.726574474
,TestRank,0.563417307,0.714921561,0.694319856,0.705009809,0.666173833,0.695005693,0.546117307,0.624921561,0.654319856,0.605009809,0.641738325,0.693500569
,CertPri,0.545673619,0.630628017,0.652539073,0.663647271,0.681943517,0.691577946,0.595695042,0.677740628,0.689772539,0.703647271,0.691943517,0.751577946
,TDPR,0.621895042,0.723858719,0.692330024,0.717405168,0.684455787,0.750933433,0.645873242,0.734585872,0.750300235,0.705740517,0.719455787,0.790933433
,APR: BugNet,0.098504218,0.653902798,0.507107630,0.525167210,0.516497450,0.566865878,0,0,0,0,0,0
,APR: RandomForest,0.44592089211547,0.6984572230014026,0.6644452321871677,0.6368702886560029,0.6459157391224358,0.644572950071579,0,0,0,0,0,0
,APR: xgboost,0.106153793,0.578559738,0.668697418,0.532048709,0.558635765,0.540797228,0,0,0,0,0,0
ImageNet,LSA,0.608573025,0.617836152,0.639370585,0.611779208,0.624234123,0.622137661,0.658573025,0.647998124,0.669234213,0.681779208,0.663200982,0.672347521
,DSA,0.688967362,0.708764221,0.693705847,0.704017792,0.733200982,0.712136961,0.729462132,0.737876321,0.709370585,0.724283621,0.733128367,0.722156532
,MCP,0.718824373,0.757998124,0.729370585,0.744255632,0.752462343,0.743660975,0.758432324,0.757673212,0.729457212,0.744017792,0.753324443,0.743447532
,Deepgini,0.762966396,0.810514601,0.835689168,0.829359184,0.821122473,0.831706015,0.792296742,0.798623837,0.804586846,0.787091674,0.795478509,0.803942736
